,date,cloud_prob
0,2022-01-05,9.0
1,2022-01-05,9.0
2,2022-01-10,5.0
3,2022-01-10,6.0
4,2022-01-15,10.0
5,2022-01-15,10.0
6,2022-01-20,34.0
7,2022-01-20,35.0
8,2022-01-25,100.0
9,2022-01-25,100.0
10,2022-01-30,6.0
11,2022-01-30,6.0
12,2022-02-04,4.0
13,2022-02-04,4.0
14,2022-02-09,2.0
15,2022-02-09,2.0
16,2022-02-14,12.0
17,2022-02-14,12.0
18,2022-02-19,1.0
19,2022-02-19,1.0
20,2022-02-24,3.0
21,2022-02-24,3.0
22,2022-03-01,10.0
23,2022-03-01,10.0
24,2022-03-06,12.0
25,2022-03-06,12.0
26,2022-03-11,7.0
27,2022-03-11,7.0
28,2022-03-16,3.0
29,2022-03-16,3.0
30,2022-03-21,
31,2022-03-21,8.0
32,2022-03-21,8.0
33,2022-03-26,10.0
34,2022-03-26,10.0
35,2022-03-31,2.0
36,2022-03-31,2.0
37,2022-04-05,4.0
38,2022-04-05,4.0
39,2022-04-10,35.0
40,2022-04-10,35.0
41,2022-04-15,7.0
42,2022-04-15,7.0
43,2022-04-20,11.0
44,2022-04-20,11.0
45,2022-04-25,9.0
46,2022-04-25,9.0
47,2022-04-30,3.0
48,2022-04-30,3.0
49,2022-05-05,5.0
50,2022-05-05,5.0
51,2022-05-10,29.0
52,2022-05-10,29.0
53,2022-05-15,26.0
54,2022-05-15,26.0
55,2022-05-20,3.0
56,2022-05-20,3.0
57,2022-05-25,11.0
58,2022-05-25,11.0
59,2022-05-30,5.0
60,2022-05-30,5.0
61,2022-06-04,8.0
62,2022-06-04,8.0
63,2022-06-09,7.0
64,2022-06-09,7.0
65,2022-06-14,29.0
66,2022-06-14,29.0
67,2022-06-19,34.0
68,2022-06-19,34.0
69,2022-06-24,62.0
70,2022-06-24,62.0
71,2022-06-29,17.0
72,2022-06-29,19.0
73,2022-07-04,100.0
74,2022-07-04,100.0
75,2022-07-09,99.0
76,2022-07-09,99.0
77,2022-07-14,57.0
78,2022-07-14,57.0
79,2022-07-19,51.0
80,2022-07-19,50.0
81,2022-07-24,65.0
82,2022-07-24,65.0
83,2022-07-29,98.0
84,2022-07-29,98.0
85,2022-08-03,46.0
86,2022-08-03,46.0
87,2022-08-08,17.0
88,2022-08-08,17.0
89,2022-08-13,100.0
90,2022-08-13,100.0
91,2022-08-18,43.0
92,2022-08-18,43.0
93,2022-08-23,72.0
94,2022-08-23,69.0
95,2022-08-28,11.0
96,2022-08-28,11.0
97,2022-09-02,99.0
98,2022-09-02,99.0
99,2022-09-07,37.0
100,2022-09-07,37.0
101,2022-09-12,59.0
102,2022-09-12,59.0
103,2022-09-17,
104,2022-09-17,15.0
105,2022-09-17,15.0
106,2022-09-22,12.0
107,2022-09-22,12.0
108,2022-09-27,17.0
109,2022-09-27,17.0
110,2022-10-02,24.0
111,2022-10-02,24.0
112,2022-10-07,
113,2022-10-07,6.0
114,2022-10-07,6.0
115,2022-10-12,6.0
116,2022-10-12,6.0
117,2022-10-12,
118,2022-10-17,17.0
119,2022-10-17,17.0
120,2022-10-22,5.0
121,2022-10-22,5.0
122,2022-10-22,
123,2022-10-27,3.0
124,2022-10-27,3.0
125,2022-11-01,15.0
126,2022-11-01,15.0
127,2022-11-06,97.0
128,2022-11-06,97.0
129,2022-11-11,22.0
130,2022-11-11,20.0
131,2022-11-16,9.0
132,2022-11-16,9.0
133,2022-11-21,28.0
134,2022-11-21,28.0
135,2022-11-26,4.0
136,2022-11-26,4.0
137,2022-12-01,14.0
138,2022-12-01,14.0
139,2022-12-11,9.0
140,2022-12-11,12.0
141,2022-12-16,5.0
142,2022-12-16,5.0
143,2022-12-21,6.0
144,2022-12-21,6.0
145,2022-12-26,41.0
146,2022-12-26,41.0
147,2022-12-31,95.0
148,2022-12-31,95.0
